polarity,tweet
0,wants to compete! i want hard competition! i want to rally. i want to feel the power coming out of the engine! i want to compete 
0,It seems we are stuck on the ground in Amarillo. They have put a ground stop for all flights leaving for Denver. Said updates in an hour 
0,where the f are my pinking shears? rarararrrarararr...babyproofing while cutting stuff makes me stick shears random places &amp; forget them 
0,0ff t0 tHE MEEtiN..  i HAtE WhEN PPl V0lUNtEER MY fREE tiME..gRRR!
4,@ reply me pls 
0,@bharathy_99: Jazz in India is just Honda strategy to prove they can make affordable cars for the working class. It still doesn't fit me. 
4,"aaaaaaaaaaah, met a boy. he seems nice. im happppppy now "
4,@jonasbrothers http://twitpic.com/6q1om - Sports Center !!!!! you guys are too legit to quit. Wooww 
4,"@saragarth Not bad, bit grumpy cause of exams but generally OK ta  x"
0,@luke_redroot can't watch it  what is it?
4,GOOD NITE EVERBODY I HAD A LONG DAY AND DID A PROJECT NOW IT IS FINALLY TIME TO GET SOME REST PEACE 
4,Morning Twitter world! I'm gonna start my day with the coldest Lucozade I can find! 
4,@jonascool1 Hahaa thats really random. But hi! 
4,"@ANGRIES Because they're just awesome.  If you wanna record one thennnn go to a recording studio haha, Bruce records people."
4,Forcei o @_wolff a participar do twitter 
0,KUTNERRRR!  WHY??? WHY??????  And to think that 13 is still on the show?? UGH. Kutner/Kal Penn - you've been the bright star in Ho ...
4,@JhonLloydTaylor  Aww I love the new songs from LVATT  ... you're saw so funny on the thursday's Live Chat of the JoBros... seriously!! 
4,@shottao tynenol works best 
0,Song Of My Life Now...Your Love Is A Lie-Simple Plan  *BeautifulyLost
0,"aah, i'm tired. haven't chilled a minute today! "
0,is curently at college doing nothing that has anything to do with school i'm incredably board 
4,@kokogirl oh lol. yeah I'm super. I just got involved in a movie. 
0,Watching the last Leno  So glad I got to go once!
4,with marijka.  lemmiiiin.
4,@hostile_bioform I dropped your books off in the library 
0,Ughh still didn't even get my hair washed 
4,I dont give a damn now to my Day job. I will be an Entrepreneur very soon 
4,living with myshele now 
4,@b_club I am on the Central Coast in California  Beautiful here! Come visit!
0,@itsbeaa mom IS a KJ. -_- i was supposed to go to rosmar's party. 
4,"..Sunday Funday! ;) -you, can take me &quot;UP!&quot; up &amp; &amp;awayyy. "
0,@ili_fm tidak tau cuz on one hand a few friends going to pmi (which has so7) and on the other no friends going for capsquare 
4,@bobby_todd hellloooooo!! 
4,@clairecameron no way!!!!  We're all metal heads!!!  You should go back and do a shredding riff or two to put him in his place 
